"","Ale","Ber","Brd","Cor","Cro","Eye","Flo","Gul","Heb","Hel","Hoo","Idr","Iom","Ios","Jer","Kav","Kil","Laz","Loo","Lyn","Lys","Mul","Oos","Ork","Pad","Pem","Sar","Sbs","She","Sin","Sky","Sul","The","Tor","Tro","Ven","Vig"
"Ale",0,6523,5821,5159,5659,6053,6376,6464,5873,6011,5219,4891,5471,4980,5105,6472,5329,1655,5074,5339,6468,5434,5600,6179,5091,5204,1898,5307,6301,6520,262,6035,289,227,6993,5192,4122
"Ber",6523,0,797,1574,885,671,482,617,822,753,1478,2011,1255,1679,1464,624,1351,5108,1546,1339,621,1232,1004,486,1595,1460,4791,1236,417,647,6281,681,6501,6457,475,1481,2414
"Brd",5821,797,0,1209,164,249,748,883,862,536,1198,1310,1293,999,763,891,1389,4406,844,1277,887,1270,368,576,1019,1142,4090,535,701,913,5579,754,5799,5755,1258,1381,1712
"Cor",5159,1574,1209,0,1047,1391,1764,1852,825,1399,109,806,400,240,556,1860,356,3744,375,291,1856,461,988,1096,269,205,3427,695,1218,1908,4917,961,5137,5093,1941,220,1050
"Cro",5659,885,164,1047,0,397,777,872,1004,485,1035,1147,1247,836,600,880,1355,4244,682,1115,876,1413,206,718,856,980,3927,372,831,924,5417,896,5637,5592,1355,1219,1550
"Eye",6053,671,249,1391,397,0,767,902,642,704,1295,1542,1073,1231,995,909,1169,4638,1077,1157,905,1050,598,356,1251,1278,4322,767,488,932,5811,534,6031,5987,1113,1299,1944
"Flo",6376,482,748,1764,777,767,0,154,1055,482,1708,1865,1486,1553,1318,159,1582,4961,1399,1569,158,1463,823,734,1573,1691,4644,1089,735,173,6134,947,6354,6310,956,1712,2267
"Gul",6464,617,883,1852,872,902,154,0,1190,552,1841,1953,1621,1642,1406,11,1717,5049,1487,1704,4,1598,899,868,1662,1785,4733,1178,870,96,6222,1081,6442,6398,1091,1847,2355
"Heb",5873,822,862,825,1004,642,1055,1190,0,1170,729,1465,506,931,1197,1197,565,4458,1017,590,1194,446,1189,346,847,712,4142,1336,465,1220,5631,162,5851,5807,1175,695,1769
"Hel",6011,753,536,1399,485,704,482,552,1170,0,1388,1500,1600,1189,953,560,1698,4596,1035,1468,556,1579,437,852,1209,1332,4280,725,895,610,5769,1062,5989,5945,1227,1572,1902
"Hoo",5219,1478,1198,109,1035,1295,1708,1841,729,1388,0,807,304,254,545,1848,465,3804,363,195,1845,570,977,1000,221,129,3487,683,1122,1873,4977,865,5197,5153,1845,329,1110
"Idr",4891,2011,1310,806,1147,1542,1865,1953,1465,1500,807,0,1025,565,594,1961,1080,3476,580,893,1957,1186,1089,1736,642,758,3160,796,1858,2008,4649,1602,4869,4825,2481,944,782
"Iom",5471,1255,1293,400,1247,1073,1486,1621,506,1600,304,1025,0,491,757,1628,633,4056,576,136,1625,515,1189,777,406,270,3739,896,899,1651,5228,643,5449,5404,1622,619,1361
"Ios",4980,1679,999,240,836,1231,1553,1642,931,1189,254,565,491,0,343,1650,527,3565,164,361,1646,632,778,1201,130,227,3249,485,1323,1697,4738,1067,4958,4914,2047,391,871
"Jer",5105,1464,763,556,600,995,1318,1406,1197,953,545,594,757,343,0,1414,865,3690,215,625,1410,970,542,1311,366,489,3374,259,1421,1461,4863,1334,5083,5039,1934,729,996
"Kav",6472,624,891,1860,880,909,159,11,1197,560,1848,1961,1628,1650,1414,0,1725,5057,1495,1712,13,1606,907,876,1669,1793,4741,1186,878,101,6230,1089,6450,6406,1099,1855,2363
"Kil",5329,1351,1389,356,1355,1169,1582,1717,565,1698,465,1080,633,527,865,1725,0,3914,683,647,1721,126,1296,874,597,561,3597,1003,996,1747,5086,727,5307,5262,1719,148,1224
"Laz",1655,5108,4406,3744,4244,4638,4961,5049,4458,4596,3804,3476,4056,3565,3690,5057,3914,0,3659,3925,5053,4019,4185,4764,3676,3789,317,3892,4886,5105,1413,4620,1633,1589,5578,3777,2707
"Loo",5074,1546,844,375,682,1077,1399,1487,1017,1035,363,580,576,164,215,1495,683,3659,0,444,1491,789,623,1288,185,309,3343,330,1410,1543,4832,1153,5052,5008,2016,547,965
"Lyn",5339,1339,1277,291,1115,1157,1569,1704,590,1468,195,893,136,361,625,1712,647,3925,444,0,1708,598,1056,861,273,138,3608,763,983,1735,5097,726,5317,5273,1706,511,1230
"Lys",6468,621,887,1856,876,905,158,4,1194,556,1845,1957,1625,1646,1410,13,1721,5053,1491,1708,0,1602,903,872,1665,1789,4737,1182,874,100,6226,1085,6446,6402,1095,1851,2359
"Mul",5434,1232,1270,461,1413,1050,1463,1598,446,1579,570,1186,515,632,970,1606,126,4019,789,598,1602,0,1402,755,703,666,3702,1109,877,1628,5192,608,5412,5368,1600,256,1330
"Oos",5600,1004,368,988,206,598,823,899,1189,437,977,1089,1189,778,542,907,1296,4185,623,1056,903,1402,0,900,798,921,3869,314,999,957,5358,1081,5578,5534,1474,1160,1491
"Ork",6179,486,576,1096,718,356,734,868,346,852,1000,1736,777,1201,1311,876,874,4764,1288,861,872,755,900,0,1118,982,4447,1083,155,899,5936,222,6157,6112,860,1004,2070
"Pad",5091,1595,1019,269,856,1251,1573,1662,847,1209,221,642,406,130,366,1669,597,3676,185,273,1665,703,798,1118,0,137,3359,504,1240,1717,4848,983,5069,5024,1963,461,981
"Pem",5204,1460,1142,205,980,1278,1691,1785,712,1332,129,758,270,227,489,1793,561,3789,309,138,1789,666,921,982,137,0,3473,628,1104,1841,4962,848,5182,5138,1828,425,1095
"Sar",1898,4791,4090,3427,3927,4322,4644,4733,4142,4280,3487,3160,3739,3249,3374,4741,3597,317,3343,3608,4737,3702,3869,4447,3359,3473,0,3576,4569,4788,1656,4303,1876,1832,5261,3461,2391
"Sbs",5307,1236,535,695,372,767,1089,1178,1336,725,683,796,896,485,259,1186,1003,3892,330,763,1182,1109,314,1083,504,628,3576,0,1192,1233,5065,1263,5285,5241,1706,867,1198
"She",6301,417,701,1218,831,488,735,870,465,895,1122,1858,899,1323,1421,878,996,4886,1410,983,874,877,999,155,1240,1104,4569,1192,0,901,6058,324,6279,6234,781,1126,2192
"Sin",6520,647,913,1908,924,932,173,96,1220,610,1873,2008,1651,1697,1461,101,1747,5105,1543,1735,100,1628,957,899,1717,1841,4788,1233,901,0,6278,1112,6498,6453,1121,1877,2411
"Sky",262,6281,5579,4917,5417,5811,6134,6222,5631,5769,4977,4649,5228,4738,4863,6230,5086,1413,4832,5097,6226,5192,5358,5936,4848,4962,1656,5065,6058,6278,0,5793,225,180,6750,4950,3880
"Sul",6035,681,754,961,896,534,947,1081,162,1062,865,1602,643,1067,1334,1089,727,4620,1153,726,1085,608,1081,222,983,848,4303,1263,324,1112,5793,0,6013,5969,1029,857,1931
"The",289,6501,5799,5137,5637,6031,6354,6442,5851,5989,5197,4869,5449,4958,5083,6450,5307,1633,5052,5317,6446,5412,5578,6157,5069,5182,1876,5285,6279,6498,225,6013,0,62,6971,5170,4100
"Tor",227,6457,5755,5093,5592,5987,6310,6398,5807,5945,5153,4825,5404,4914,5039,6406,5262,1589,5008,5273,6402,5368,5534,6112,5024,5138,1832,5241,6234,6453,180,5969,62,0,6926,5126,4056
"Tro",6993,475,1258,1941,1355,1113,956,1091,1175,1227,1845,2481,1622,2047,1934,1099,1719,5578,2016,1706,1095,1600,1474,860,1963,1828,5261,1706,781,1121,6750,1029,6971,6926,0,1849,2883
"Ven",5192,1481,1381,220,1219,1299,1712,1847,695,1572,329,944,619,391,729,1855,148,3777,547,511,1851,256,1160,1004,461,425,3461,867,1126,1877,4950,857,5170,5126,1849,0,1088
"Vig",4122,2414,1712,1050,1550,1944,2267,2355,1769,1902,1110,782,1361,871,996,2363,1224,2707,965,1230,2359,1330,1491,2070,981,1095,2391,1198,2192,2411,3880,1931,4100,4056,2883,1088,0
