Run,Library Name,Sample Name
SRR11205484,TX_1124,TX_1124
SRR11205485,TX_1123,TX_1123
SRR11205486,TX_1122,TX_1122
SRR11205487,TX_1121,TX_1121
SRR11205488,TX_1120,TX_1120
SRR11205489,TX_1114,TX_1114
SRR11205490,TX_1113,TX_1113
SRR11205491,BRZ_1445,BRZ_1445
SRR11205492,TX_1111,TX_1111
SRR11205493,TX_1110,TX_1110
SRR11205494,TX_1109,TX_1109
SRR11205495,TX_1108,TX_1108
SRR11205496,TX_1107,TX_1107
SRR11205497,TX_1106,TX_1106
SRR11205498,TX_1105,TX_1105
SRR11205499,TX_1104,TX_1104
SRR11205500,TX_1103,TX_1103
SRR11205501,TX_1102,TX_1102
SRR11205502,BRZ_1444,BRZ_1444
SRR11205503,TX_1101,TX_1101
SRR11205504,TX_1101_6,TX_1101_6
SRR11205505,TX_1101_5,TX_1101_5
SRR11205506,TX_1101_4,TX_1101_4
SRR11205507,TX_1101_3,TX_1101_3
SRR11205508,TX_1101_1,TX_1101_1
SRR11205509,TX_1100,TX_1100
SRR11205510,TX_1100_6,TX_1100_6
SRR11205511,TX_1100_5,TX_1100_5
SRR11205512,BRZ_1443,BRZ_1443
SRR11205513,TX_1100_4,TX_1100_4
SRR11205514,TX_1100_3,TX_1100_3
SRR11205515,TX_1100_1,TX_1100_1
SRR11205516,PR_938,PR_938
SRR11205517,BRZ_1281,BRZ_1281
SRR11205518,PR_937,PR_937
SRR11205519,PR_936,PR_936
SRR11205520,PR_935,PR_935
SRR11205521,PR_934,PR_934
SRR11205522,PR_1063,PR_1063
SRR11205523,PR_1062,PR_1062
SRR11205524,PR_1061,PR_1061
SRR11205525,PR_1060,PR_1060
SRR11205526,PR_1059,PR_1059
SRR11205527,PR_1058,PR_1058
SRR11205528,BRZ_1280,BRZ_1280
SRR11205529,PR_1057,PR_1057
SRR11205530,PR_1056,PR_1056
SRR11205531,PR_1055,PR_1055
SRR11205532,PR_1054,PR_1054
SRR11205533,PR_1053,PR_1053
SRR11205534,PR_1052,PR_1052
SRR11205535,PR_1051,PR_1051
SRR11205536,PR_1050,PR_1050
SRR11205537,PR_1049,PR_1049
