Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,LENGTH_(CM),Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,REPLICATE,create_date,version,Sample Name,SAMPLE_TYPE,sex,SRA Study,store_cond,Strain,TISSUE
SRR11205484,not collected,RAD-Seq,302,3255837236,PRJNA504598,SAMN14148347,Model organism or animal,not applicable,1116059823,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818596,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1124,52,TX_1124,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,TX_1124,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205485,not collected,RAD-Seq,302,4767295896,PRJNA504598,SAMN14148346,Model organism or animal,not applicable,1648069256,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818595,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1123,63,TX_1123,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:30:00Z,1,TX_1123,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205486,not collected,RAD-Seq,302,5884786496,PRJNA504598,SAMN14148345,Model organism or animal,not applicable,2026514642,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818594,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1122,missing,TX_1122,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:32:00Z,1,TX_1122,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205487,not collected,RAD-Seq,302,1840468634,PRJNA504598,SAMN14148344,Model organism or animal,not applicable,630371237,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818593,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1121,50,TX_1121,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,TX_1121,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205488,not collected,RAD-Seq,293,2825196738,PRJNA504598,SAMN14148343,Model organism or animal,not applicable,1058041460,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818592,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1120,60,TX_1120,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,TX_1120,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205489,not collected,RAD-Seq,302,1522649270,PRJNA504598,SAMN14148342,Model organism or animal,not applicable,557398221,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818591,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1114,55,TX_1114,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:32:00Z,1,TX_1114,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205490,not collected,RAD-Seq,302,2627044244,PRJNA504598,SAMN14148341,Model organism or animal,not applicable,960286117,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818590,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1113,5,TX_1113,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:28:00Z,1,TX_1113,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205491,not collected,RAD-Seq,302,2570517394,PRJNA504598,SAMN14147837,Model organism or animal,not applicable,953667827,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",2019-02,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818589,Brazil,South America,Brazil: St. Peter,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1445,56,BRZ_1445,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,BRZ_1445,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,"Fin Clip\, Muscle"
SRR11205492,not collected,RAD-Seq,302,2961343446,PRJNA504598,SAMN14148340,Model organism or animal,not applicable,1090855565,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818588,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1111,56,TX_1111,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,TX_1111,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205493,not collected,RAD-Seq,302,1925786352,PRJNA504598,SAMN14148339,Model organism or animal,not applicable,704270442,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818587,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1110,51,TX_1110,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,TX_1110,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
